ETF,Alpha (ann.),Alpha t-stat,Mkt-RF (β),SMB,HML,RMW,CMA,R²,N
VTI,-0.0032184601825833727,-1.1694204604728557,1.0000899653266622,0.014142509056576866,-0.0061957629999148025,0.02632180118471035,0.03236334595338552,0.999390756996139,39
DFUS,0.0017915548405227004,0.4825047404417312,0.9958647238525667,-0.011919764295512586,0.0005903724532298239,0.04888209045043224,0.043136978713077465,0.9988664974850776,39
VXUS,-0.008516609854650732,-0.7889625462570015,1.013617316551781,-0.38572453421631975,-0.10147394168201936,-0.1941233632019842,0.08916886308531954,0.9915294507078901,39
DFAX,-0.018334476131248355,-1.4950370706202007,1.040278339052072,-0.21445733746177642,0.1123950411526904,0.013757127248803624,0.05148828502164221,0.9889150967891889,39
