Date,VTI,VXUS,BND,VOO,VBR,VTV,MTUM,DFUS,DFAX,DFAI,DFAE
2010-01-04 00:00:00+00:00,43.3441042884,,49.3515267678,,40.2527772945,32.5170720081,,,,,
2010-01-05 00:00:00+00:00,43.5104924047,,49.4958557046,,40.2092764545,32.6242343463,,,,,
2010-01-06 00:00:00+00:00,43.5709971743,,49.4770383725,,40.2745277145,32.7313966846,,,,,
2010-01-07 00:00:00+00:00,43.7525114829,,49.4394037085,,40.6297845746,32.9122331303,,,,,
2010-01-08 00:00:00+00:00,43.8962103106,,49.4895832606,,40.7740623607,32.945721361,,,,,
2010-01-11 00:00:00+00:00,43.9567150802,,49.5084005926,,40.7530369547,33.08637193,,,,,
2010-01-12 00:00:00+00:00,43.5029293085,,49.696573913,,40.2745277145,32.7488105645,,,,,
2010-01-13 00:00:00+00:00,43.911336503,,49.5836699208,,40.7530369547,33.0461860531,,,,,
2010-01-14 00:00:00+00:00,43.9869674649,,49.702846357,,40.8835394747,33.1064648684,,,,,
2010-01-15 00:00:00+00:00,43.4878031161,,49.7342085771,,40.3977800946,32.7313966846,,,,,
2010-01-19 00:00:00+00:00,44.0625984269,,49.709118801,,41.0285422748,33.1533483914,,,,,
2010-01-20 00:00:00+00:00,43.6541912324,,49.8282952373,,40.6442848546,32.8921401919,,,,,
2010-01-21 00:00:00+00:00,42.8525030358,,49.8846845089,,39.9410212744,32.1888873472,,,,,
2010-01-22 00:00:00+00:00,41.9071160116,,49.8659299013,,39.1362557341,31.552610964,,,,,
2010-01-25 00:00:00+00:00,42.0886303202,,49.7969330172,,39.3102590942,31.7133544713,,,,,
2010-01-26 00:00:00+00:00,41.8995529154,,49.9161094534,,38.976752654,31.5325180256,,,,,
2010-01-27 00:00:00+00:00,42.1037565126,,49.8471125693,,39.2957588142,31.6597733022,,,,,
2010-01-28 00:00:00+00:00,41.6045921638,,49.8659299013,,38.7012473339,31.4186580412,,,,,
2010-01-29 00:00:00+00:00,41.1129909112,,49.9286543415,,38.3169899138,31.1976357186,,,,,
2010-02-01 00:00:00+00:00,41.7407278953,,49.8963443551,,38.752723328,31.6128897792,,,,,
2010-02-02 00:00:00+00:00,42.2777077251,,49.9278048497,,39.2595081141,32.1085155936,,,,,
2010-02-03 00:00:00+00:00,42.0659410316,,49.8963443551,,38.947752094,31.8540050403,,,,,
2010-02-04 00:00:00+00:00,40.7575253901,,49.9907258388,,37.6644773136,30.8426604732,,,,,
